FlowID,Source,Destination,Protocol,TxPackets,TxBytes,TxOffered,RxPackets,RxBytes,Throughput,MeanDelay,LastPacketDelay,MeanJitter
1,1.0.0.2:49153,7.0.0.22:2003,UDP,354,522504,4.18003,11,16236,0.129888,2.18367,0.00259926,0.0746755
2,1.0.0.2:49154,7.0.0.23:2003,UDP,354,522504,4.18003,11,16236,0.129888,2.36601,0.0027816,0.0746755
3,1.0.0.2:49155,7.0.0.2:2001,UDP,354,522504,4.18003,11,16236,0.129888,2.05551,0.00247109,0.0746755
4,1.0.0.2:49156,7.0.0.24:2003,UDP,354,522504,4.18003,11,16236,0.129888,2.3216,0.00277615,0.0779222
5,1.0.0.2:49157,7.0.0.12:2002,UDP,354,522504,4.18003,10,14760,0.11808,2.19809,0.00278738,0.114286
6,1.0.0.2:49158,7.0.0.13:2002,UDP,354,522504,4.18003,11,16236,0.129888,2.25301,0.00266859,0.0746755
7,1.0.0.2:49159,7.0.0.14:2002,UDP,354,522504,4.18003,10,14760,0.11808,2.17817,0.00260674,0.0785716
8,1.0.0.2:49160,7.0.0.25:2003,UDP,354,522504,4.18003,10,14760,0.11808,1.98991,0.0024042,0.0785716
9,1.0.0.2:49161,7.0.0.26:2003,UDP,354,522504,4.18003,11,16236,0.129888,2.0866,0.00250219,0.0746755
10,1.0.0.2:49162,7.0.0.3:2001,UDP,354,522504,4.18003,9,13284,0.106272,2.71446,0.00338113,0.166667
